Timestamp start: 1715691894231
Timestamp end: 1715692694752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      477.1   676.6   160.7   210.4   227.4   411.5   504.7   554.9   593.6   650.1   729.2   842.4  1304.8  7904.1 32327.1  19963.4    19948
read      415.4   361.5   148.8   207.6   223.0   347.6   431.9   486.3   528.2   577.3   633.8   740.0  1433.2  4131.5 10166.4  44228.0    44213
read      503.0   834.6   160.7   212.8   230.5   422.0   517.4   572.5   616.9   671.7   741.0   848.4  1656.2 11724.5 35522.8  19459.2    19454
read      435.4   939.0   160.7   224.4   243.9   371.1   425.6   453.3   471.5   494.0   521.3   569.5  1664.8  9795.7 52063.7   7124.6     7190
read      418.2   342.8   148.8   205.5   220.4   347.9   428.1   481.3   523.4   573.5   634.1   788.4  1517.1  3901.4  8583.1  47637.0    47657
read      387.6   237.5   148.8   205.1   219.8   349.9   428.2   475.4   511.6   553.5   600.6   662.9   813.9  1705.8  8866.6  44480.2    44399
read      441.7  1034.1   160.7   227.6   246.6   355.0   400.7   427.1   445.9   467.1   496.4   544.5  2293.2 15620.8 34878.6   6570.8     6481
read      423.5   943.9   160.7   226.6   245.7   350.2   395.7   419.4   434.6   454.3   477.1   519.1  2254.5 10188.1 38773.4   5793.2     5807
read      512.5   602.8   148.8   211.6   229.0   384.9   465.4   513.5   554.8   619.4   748.9  1600.5  2265.0  6162.3 17883.4  82670.2    83137
read      422.0   618.2   160.7   221.0   239.0   373.8   434.2   468.3   493.5   522.0   557.1   612.3  1055.7  6926.8 29860.4   9598.2     9580
read      464.1   767.9   148.8   205.4   220.6   356.3   454.2   515.4   559.8   611.4   687.0   973.6  1533.1  9755.8 31348.8  37320.8    37385
read      384.5   299.6   148.8   203.7   217.9   339.6   425.9   478.1   514.2   551.2   591.1   641.0   793.8  2067.0 12655.7  33806.6    33706
read      390.2   407.1   160.7   203.4   217.3   340.5   422.9   474.6   511.9   550.6   591.5   643.6   852.1  4959.2 13021.3  35183.4    35204
read      384.1   259.7   160.7   205.9   220.6   346.2   421.9   466.0   500.1   540.6   588.8   652.6   800.9  2458.1  6312.8  50339.0    50438
read      380.3   202.3   160.7   206.0   220.4   344.6   417.7   462.5   497.6   538.8   588.3   652.4   798.6  1817.1  5684.8  48718.2    48878
read      381.7   274.6   160.7   205.3   219.7   342.3   417.6   464.6   500.4   541.1   587.5   644.9   770.8  2857.8  8677.7  42765.6    42682
read      380.4   246.7   148.8   203.9   218.3   339.1   432.1   480.6   511.5   543.2   578.7   625.9   762.0  1807.3  9848.9  27576.4    27416
read      377.0   250.7   148.8   205.5   219.8   339.3   414.4   456.8   488.3   526.3   574.9   641.7   808.4  1830.2  9635.1  64545.2    64424
read      386.6   259.1   160.7   207.2   221.6   343.2   420.5   464.4   497.4   536.9   585.8   660.0   927.3  3228.1  8654.7  64498.0    64364
read      442.1  1150.1   160.7   233.6   252.5   344.7   383.8   405.1   422.6   441.6   467.4   518.9  2454.1 20131.4 36660.5   5448.0     5481
read      497.5   388.4   160.7   218.9   236.5   444.4   559.6   631.0   684.5   744.3   820.6   934.2  1163.2  4342.3 12903.5  26205.4    26227
read      496.0   359.1   160.7   218.3   235.7   444.5   561.2   631.9   685.6   746.5   823.6   938.3  1190.6  1867.2 12804.9  26549.6    26586
read      900.4  1004.0   160.7   272.4   322.3   497.5  1201.3  1516.8  1604.7  1687.6  1778.6  1904.0  2853.6 12480.4 31500.7  86485.8    86286
read      524.9   458.0   160.7   218.3   234.8   419.2   538.0   620.5   688.6   775.5   906.5  1187.5  1798.0  4747.4 15007.8  24410.0    24452
read      494.0   307.8   148.8   218.5   235.3   442.1   558.2   631.5   685.5   748.1   824.9   936.1  1183.9  3019.2  9299.6  26757.6    26832
read      498.7   340.4   160.7   218.4   235.4   436.6   560.7   639.9   698.2   765.8   849.6   980.0  1246.1  2219.8 11986.9  29709.0    29795
